RTT,From,Req,Bytes,TTL
42.5,10.0.0.10,184,64,64
42.4,10.0.0.10,185,64,64
41.8,10.0.0.10,186,64,64
44.0,10.0.0.10,187,64,64
43.8,10.0.0.10,188,64,64
43.9,10.0.0.10,189,64,64
42.9,10.0.0.10,190,64,64
42.9,10.0.0.10,191,64,64
44.1,10.0.0.10,192,64,64
44.0,10.0.0.10,193,64,64
43.6,10.0.0.10,194,64,64
45.5,10.0.0.10,195,64,64
44.4,10.0.0.10,196,64,64
44.5,10.0.0.10,197,64,64
42.7,10.0.0.10,198,64,64
43.0,10.0.0.10,199,64,64
43.6,10.0.0.10,200,64,64
44.4,10.0.0.10,201,64,64
44.5,10.0.0.10,202,64,64
42.8,10.0.0.10,203,64,64
41.9,10.0.0.10,204,64,64
41.6,10.0.0.10,205,64,64
45.1,10.0.0.10,206,64,64
43.9,10.0.0.10,207,64,64
43.0,10.0.0.10,208,64,64
43.5,10.0.0.10,209,64,64
44.6,10.0.0.10,210,64,64
44.4,10.0.0.10,211,64,64
43.0,10.0.0.10,212,64,64
43.0,10.0.0.10,213,64,64
43.4,10.0.0.10,214,64,64
42.0,10.0.0.10,215,64,64
44.8,10.0.0.10,216,64,64
43.9,10.0.0.10,217,64,64
42.7,10.0.0.10,218,64,64
42.7,10.0.0.10,219,64,64
41.1,10.0.0.10,220,64,64
43.8,10.0.0.10,221,64,64
41.7,10.0.0.10,222,64,64
41.4,10.0.0.10,223,64,64
42.9,10.0.0.10,224,64,64
42.1,10.0.0.10,225,64,64
42.5,10.0.0.10,226,64,64
42.0,10.0.0.10,227,64,64
42.5,10.0.0.10,228,64,64
41.4,10.0.0.10,229,64,64
43.5,10.0.0.10,230,64,64
42.6,10.0.0.10,231,64,64
42.7,10.0.0.10,232,64,64
41.8,10.0.0.10,233,64,64
41.7,10.0.0.10,234,64,64
43.0,10.0.0.10,235,64,64
43.7,10.0.0.10,236,64,64
42.2,10.0.0.10,237,64,64
42.6,10.0.0.10,238,64,64
41.0,10.0.0.10,239,64,64
43.1,10.0.0.10,240,64,64
42.2,10.0.0.10,241,64,64
43.2,10.0.0.10,242,64,64
42.1,10.0.0.10,243,64,64
43.0,10.0.0.10,244,64,64
42.6,10.0.0.10,245,64,64
43.6,10.0.0.10,246,64,64
44.1,10.0.0.10,247,64,64
44.5,10.0.0.10,248,64,64
44.6,10.0.0.10,249,64,64
43.4,10.0.0.10,250,64,64
42.9,10.0.0.10,251,64,64
41.7,10.0.0.10,252,64,64
41.8,10.0.0.10,253,64,64
43.4,10.0.0.10,254,64,64
43.4,10.0.0.10,255,64,64
43.6,10.0.0.10,256,64,64
42.7,10.0.0.10,257,64,64
43.7,10.0.0.10,258,64,64
43.9,10.0.0.10,259,64,64
43.7,10.0.0.10,260,64,64
43.9,10.0.0.10,261,64,64
43.8,10.0.0.10,262,64,64
43.7,10.0.0.10,263,64,64
43.4,10.0.0.10,264,64,64
43.5,10.0.0.10,265,64,64
43.4,10.0.0.10,266,64,64
42.9,10.0.0.10,267,64,64
42.3,10.0.0.10,268,64,64
42.2,10.0.0.10,269,64,64
42.2,10.0.0.10,270,64,64
42.7,10.0.0.10,271,64,64
42.7,10.0.0.10,272,64,64
43.1,10.0.0.10,273,64,64
44.9,10.0.0.10,274,64,64
43.8,10.0.0.10,275,64,64
43.1,10.0.0.10,276,64,64
41.3,10.0.0.10,277,64,64
41.4,10.0.0.10,278,64,64
42.2,10.0.0.10,279,64,64
43.3,10.0.0.10,280,64,64
43.5,10.0.0.10,281,64,64
42.3,10.0.0.10,282,64,64
44.2,10.0.0.10,283,64,64
42.4,10.0.0.10,284,64,64
43.0,10.0.0.10,285,64,64
43.1,10.0.0.10,286,64,64
44.3,10.0.0.10,287,64,64
43.8,10.0.0.10,288,64,64
42.7,10.0.0.10,289,64,64
41.5,10.0.0.10,290,64,64
42.2,10.0.0.10,291,64,64
41.2,10.0.0.10,292,64,64
41.8,10.0.0.10,293,64,64
41.7,10.0.0.10,294,64,64
42.4,10.0.0.10,295,64,64
41.8,10.0.0.10,296,64,64
40.9,10.0.0.10,297,64,64
43.8,10.0.0.10,298,64,64
43.1,10.0.0.10,299,64,64
42.9,10.0.0.10,300,64,64
44.1,10.0.0.10,301,64,64
42.7,10.0.0.10,302,64,64
41.6,10.0.0.10,303,64,64
42.5,10.0.0.10,304,64,64
42.2,10.0.0.10,305,64,64
42.4,10.0.0.10,306,64,64
42.0,10.0.0.10,307,64,64
41.3,10.0.0.10,308,64,64
40.9,10.0.0.10,309,64,64
42.2,10.0.0.10,310,64,64
42.2,10.0.0.10,311,64,64
45.3,10.0.0.10,312,64,64
45.0,10.0.0.10,313,64,64
45.1,10.0.0.10,314,64,64
44.7,10.0.0.10,315,64,64
43.3,10.0.0.10,316,64,64
42.3,10.0.0.10,317,64,64
43.0,10.0.0.10,318,64,64
42.2,10.0.0.10,319,64,64
43.1,10.0.0.10,320,64,64
43.0,10.0.0.10,321,64,64
43.0,10.0.0.10,322,64,64
43.5,10.0.0.10,323,64,64
43.6,10.0.0.10,324,64,64
42.4,10.0.0.10,325,64,64
42.4,10.0.0.10,326,64,64
41.5,10.0.0.10,327,64,64
43.6,10.0.0.10,328,64,64
44.4,10.0.0.10,329,64,64
44.1,10.0.0.10,330,64,64
43.4,10.0.0.10,331,64,64
41.0,10.0.0.10,332,64,64
42.9,10.0.0.10,333,64,64
43.9,10.0.0.10,334,64,64
42.2,10.0.0.10,335,64,64
44.5,10.0.0.10,336,64,64
40.7,10.0.0.10,337,64,64
43.5,10.0.0.10,338,64,64
42.7,10.0.0.10,339,64,64
42.0,10.0.0.10,340,64,64
42.5,10.0.0.10,341,64,64
43.2,10.0.0.10,342,64,64
43.6,10.0.0.10,343,64,64
43.5,10.0.0.10,344,64,64
44.1,10.0.0.10,345,64,64
43.8,10.0.0.10,346,64,64
44.0,10.0.0.10,347,64,64
42.9,10.0.0.10,348,64,64
42.2,10.0.0.10,349,64,64
43.7,10.0.0.10,350,64,64
43.3,10.0.0.10,351,64,64
43.8,10.0.0.10,352,64,64
42.3,10.0.0.10,353,64,64
41.6,10.0.0.10,354,64,64
42.5,10.0.0.10,355,64,64
43.9,10.0.0.10,356,64,64
45.2,10.0.0.10,357,64,64
44.1,10.0.0.10,358,64,64
42.9,10.0.0.10,359,64,64
43.3,10.0.0.10,360,64,64
43.3,10.0.0.10,361,64,64
41.8,10.0.0.10,362,64,64
44.0,10.0.0.10,363,64,64
44.0,10.0.0.10,364,64,64
43.8,10.0.0.10,365,64,64
44.0,10.0.0.10,366,64,64
41.7,10.0.0.10,367,64,64
41.6,10.0.0.10,368,64,64
42.8,10.0.0.10,369,64,64
41.4,10.0.0.10,370,64,64
42.0,10.0.0.10,371,64,64
41.9,10.0.0.10,372,64,64
42.2,10.0.0.10,373,64,64
42.0,10.0.0.10,374,64,64
44.0,10.0.0.10,375,64,64
42.7,10.0.0.10,376,64,64
41.6,10.0.0.10,377,64,64
41.9,10.0.0.10,378,64,64
41.4,10.0.0.10,379,64,64
42.8,10.0.0.10,380,64,64
42.6,10.0.0.10,381,64,64
41.4,10.0.0.10,382,64,64
42.9,10.0.0.10,383,64,64
42.9,10.0.0.10,384,64,64
44.1,10.0.0.10,385,64,64
44.0,10.0.0.10,386,64,64
41.9,10.0.0.10,387,64,64
40.9,10.0.0.10,388,64,64
42.1,10.0.0.10,389,64,64
41.8,10.0.0.10,390,64,64
42.9,10.0.0.10,391,64,64
42.3,10.0.0.10,392,64,64
41.2,10.0.0.10,393,64,64
41.4,10.0.0.10,394,64,64
43.0,10.0.0.10,395,64,64
42.1,10.0.0.10,396,64,64
42.7,10.0.0.10,397,64,64
41.5,10.0.0.10,398,64,64
43.4,10.0.0.10,399,64,64
43.6,10.0.0.10,400,64,64
42.2,10.0.0.10,401,64,64
44.7,10.0.0.10,402,64,64
44.9,10.0.0.10,403,64,64
44.9,10.0.0.10,404,64,64
44.1,10.0.0.10,405,64,64
43.4,10.0.0.10,406,64,64
42.4,10.0.0.10,407,64,64
42.4,10.0.0.10,408,64,64
42.6,10.0.0.10,409,64,64
43.1,10.0.0.10,410,64,64
43.6,10.0.0.10,411,64,64
43.2,10.0.0.10,412,64,64
43.5,10.0.0.10,413,64,64
43.2,10.0.0.10,414,64,64
43.5,10.0.0.10,415,64,64
44.1,10.0.0.10,416,64,64
43.8,10.0.0.10,417,64,64
42.8,10.0.0.10,418,64,64
42.8,10.0.0.10,419,64,64
42.0,10.0.0.10,420,64,64
42.6,10.0.0.10,421,64,64
42.8,10.0.0.10,422,64,64
43.2,10.0.0.10,423,64,64
43.3,10.0.0.10,424,64,64
42.6,10.0.0.10,425,64,64
42.6,10.0.0.10,426,64,64
42.3,10.0.0.10,427,64,64
42.6,10.0.0.10,428,64,64
44.0,10.0.0.10,429,64,64
45.2,10.0.0.10,430,64,64
44.9,10.0.0.10,431,64,64
46.1,10.0.0.10,432,64,64
44.6,10.0.0.10,433,64,64
43.1,10.0.0.10,434,64,64
42.0,10.0.0.10,435,64,64
43.3,10.0.0.10,436,64,64
40.9,10.0.0.10,437,64,64
41.7,10.0.0.10,438,64,64
41.5,10.0.0.10,439,64,64
43.3,10.0.0.10,440,64,64
42.3,10.0.0.10,441,64,64
42.5,10.0.0.10,442,64,64
40.9,10.0.0.10,443,64,64
44.5,10.0.0.10,444,64,64
43.3,10.0.0.10,445,64,64
44.3,10.0.0.10,446,64,64
43.3,10.0.0.10,447,64,64
43.0,10.0.0.10,448,64,64
43.7,10.0.0.10,449,64,64
43.4,10.0.0.10,450,64,64
43.0,10.0.0.10,451,64,64
43.9,10.0.0.10,452,64,64
42.7,10.0.0.10,453,64,64
42.4,10.0.0.10,454,64,64
44.1,10.0.0.10,455,64,64
43.1,10.0.0.10,456,64,64
42.2,10.0.0.10,457,64,64
41.7,10.0.0.10,458,64,64
42.5,10.0.0.10,459,64,64
43.3,10.0.0.10,460,64,64
45.0,10.0.0.10,461,64,64
45.7,10.0.0.10,462,64,64
45.4,10.0.0.10,463,64,64
44.8,10.0.0.10,464,64,64
42.9,10.0.0.10,465,64,64
43.2,10.0.0.10,466,64,64
42.4,10.0.0.10,467,64,64
44.1,10.0.0.10,468,64,64
44.6,10.0.0.10,469,64,64
44.5,10.0.0.10,470,64,64
44.4,10.0.0.10,471,64,64
44.4,10.0.0.10,472,64,64
43.6,10.0.0.10,473,64,64
42.7,10.0.0.10,474,64,64
43.2,10.0.0.10,475,64,64
55.5,10.0.0.10,476,64,64
56.0,10.0.0.10,477,64,64
57.2,10.0.0.10,478,64,64
42.2,10.0.0.10,479,64,64
42.5,10.0.0.10,480,64,64
42.7,10.0.0.10,481,64,64
43.4,10.0.0.10,482,64,64
43.5,10.0.0.10,483,64,64
42.8,10.0.0.10,484,64,64
42.1,10.0.0.10,485,64,64
42.3,10.0.0.10,486,64,64
42.7,10.0.0.10,487,64,64
43.9,10.0.0.10,488,64,64
43.5,10.0.0.10,489,64,64
44.0,10.0.0.10,490,64,64
45.1,10.0.0.10,491,64,64
44.9,10.0.0.10,492,64,64
43.4,10.0.0.10,493,64,64
42.5,10.0.0.10,494,64,64
42.0,10.0.0.10,495,64,64
43.9,10.0.0.10,496,64,64
44.8,10.0.0.10,497,64,64
45.1,10.0.0.10,498,64,64
44.2,10.0.0.10,499,64,64
44.3,10.0.0.10,500,64,64
44.1,10.0.0.10,501,64,64
43.0,10.0.0.10,502,64,64
41.7,10.0.0.10,503,64,64
42.7,10.0.0.10,504,64,64
43.7,10.0.0.10,505,64,64
42.7,10.0.0.10,506,64,64
42.8,10.0.0.10,507,64,64
42.8,10.0.0.10,508,64,64
42.6,10.0.0.10,509,64,64
41.9,10.0.0.10,510,64,64
40.9,10.0.0.10,511,64,64
42.7,10.0.0.10,512,64,64
42.8,10.0.0.10,513,64,64
41.9,10.0.0.10,514,64,64
42.9,10.0.0.10,515,64,64
43.4,10.0.0.10,516,64,64
44.9,10.0.0.10,517,64,64
43.5,10.0.0.10,518,64,64
44.1,10.0.0.10,519,64,64
42.0,10.0.0.10,520,64,64
42.1,10.0.0.10,521,64,64
43.2,10.0.0.10,522,64,64
43.1,10.0.0.10,523,64,64
42.9,10.0.0.10,524,64,64
42.8,10.0.0.10,525,64,64
43.9,10.0.0.10,526,64,64
44.8,10.0.0.10,527,64,64
43.3,10.0.0.10,528,64,64
43.2,10.0.0.10,529,64,64
46.0,10.0.0.10,530,64,64
46.1,10.0.0.10,531,64,64
45.5,10.0.0.10,532,64,64
44.0,10.0.0.10,533,64,64
43.6,10.0.0.10,534,64,64
43.0,10.0.0.10,535,64,64
43.4,10.0.0.10,536,64,64
42.2,10.0.0.10,537,64,64
42.1,10.0.0.10,538,64,64
45.1,10.0.0.10,539,64,64
44.9,10.0.0.10,540,64,64
44.8,10.0.0.10,541,64,64
43.0,10.0.0.10,542,64,64
41.4,10.0.0.10,543,64,64
42.7,10.0.0.10,544,64,64
42.6,10.0.0.10,545,64,64
43.2,10.0.0.10,546,64,64
42.9,10.0.0.10,547,64,64
41.9,10.0.0.10,548,64,64
44.4,10.0.0.10,549,64,64
40.8,10.0.0.10,550,64,64
42.9,10.0.0.10,551,64,64
43.7,10.0.0.10,552,64,64
43.5,10.0.0.10,553,64,64
42.5,10.0.0.10,554,64,64
44.3,10.0.0.10,555,64,64
43.3,10.0.0.10,556,64,64
43.2,10.0.0.10,557,64,64
42.9,10.0.0.10,558,64,64
44.2,10.0.0.10,559,64,64
44.1,10.0.0.10,560,64,64
43.2,10.0.0.10,561,64,64
44.6,10.0.0.10,562,64,64
43.2,10.0.0.10,563,64,64
43.4,10.0.0.10,564,64,64
43.0,10.0.0.10,565,64,64
45.0,10.0.0.10,566,64,64
45.2,10.0.0.10,567,64,64
44.3,10.0.0.10,568,64,64
44.0,10.0.0.10,569,64,64
44.6,10.0.0.10,570,64,64
45.0,10.0.0.10,571,64,64
44.2,10.0.0.10,572,64,64
43.2,10.0.0.10,573,64,64
43.5,10.0.0.10,574,64,64
45.2,10.0.0.10,575,64,64
44.4,10.0.0.10,576,64,64
45.0,10.0.0.10,577,64,64
44.1,10.0.0.10,578,64,64
43.8,10.0.0.10,579,64,64
42.6,10.0.0.10,580,64,64
43.4,10.0.0.10,581,64,64
42.7,10.0.0.10,582,64,64
41.5,10.0.0.10,583,64,64
42.8,10.0.0.10,584,64,64
44.2,10.0.0.10,585,64,64
45.6,10.0.0.10,586,64,64
43.5,10.0.0.10,587,64,64
43.7,10.0.0.10,588,64,64
42.6,10.0.0.10,589,64,64
43.9,10.0.0.10,590,64,64
43.0,10.0.0.10,591,64,64
44.1,10.0.0.10,592,64,64
44.6,10.0.0.10,593,64,64
43.0,10.0.0.10,594,64,64
41.4,10.0.0.10,595,64,64
41.1,10.0.0.10,596,64,64
42.9,10.0.0.10,597,64,64
42.9,10.0.0.10,598,64,64
42.0,10.0.0.10,599,64,64
42.6,10.0.0.10,600,64,64
41.8,10.0.0.10,601,64,64
42.6,10.0.0.10,602,64,64
42.1,10.0.0.10,603,64,64
40.8,10.0.0.10,604,64,64
41.8,10.0.0.10,605,64,64
42.8,10.0.0.10,606,64,64
42.9,10.0.0.10,607,64,64
42.5,10.0.0.10,608,64,64
43.2,10.0.0.10,609,64,64
44.3,10.0.0.10,610,64,64
44.4,10.0.0.10,611,64,64
43.4,10.0.0.10,612,64,64
43.2,10.0.0.10,613,64,64
43.3,10.0.0.10,614,64,64
44.4,10.0.0.10,615,64,64
42.3,10.0.0.10,616,64,64
43.1,10.0.0.10,617,64,64
42.1,10.0.0.10,618,64,64
43.0,10.0.0.10,619,64,64
43.0,10.0.0.10,620,64,64
43.1,10.0.0.10,621,64,64
42.1,10.0.0.10,622,64,64
42.4,10.0.0.10,623,64,64
42.6,10.0.0.10,624,64,64
43.6,10.0.0.10,625,64,64
44.2,10.0.0.10,626,64,64
43.4,10.0.0.10,627,64,64
43.7,10.0.0.10,628,64,64
43.3,10.0.0.10,629,64,64
42.9,10.0.0.10,630,64,64
42.7,10.0.0.10,631,64,64
42.9,10.0.0.10,632,64,64
43.3,10.0.0.10,633,64,64
42.0,10.0.0.10,634,64,64
44.5,10.0.0.10,635,64,64
45.6,10.0.0.10,636,64,64
